Dấu thời gian,Bạn là ai,Họ Tên,Tuổi,Địa Điểm Sinh Sống,Kỹ năng bạn có,Thời gian rảnh để tham gia tình nguyện,Lĩnh vực mà bạn quan tâm,Tên hoạt động tình nguyện  ,Mô tả công việc,Kỹ năng yêu cầu,Địa điểm,Thời gian thực hiện,Lĩnh vực hoạt động,"Sự kiện mà bạn từng tham gia? (Chưa tham gia vui lòng nhập ""Chưa tham gia"")"
30/10/2025 20:30:20,Tình Nguyện Viên,,22,Quảng Ninh,"phân tích dữ liệu, lập trình",online,khoa học,,,,,,,
30/10/2025 20:30:34,Tình Nguyện Viên,,26,Bình Định,thiết kế UI,online,"công nghệ, đổi mới",,,,,,,
30/10/2025 20:30:50,Tình Nguyện Viên,,36,Hà Nội,tổ chức sự kiện,cuối tuần,truyền thông,,,,,,,
30/10/2025 20:31:46,Tình Nguyện Viên,,23,Nghệ An,"ngoại ngữ, hướng dẫn, giao tiếp",linh hoạt,văn hóa,,,,,,,
30/10/2025 20:32:01,Tình Nguyện Viên,,40,TP. Hồ Chí Minh,"kỹ thuật nông nghiệp, bảo tồn",cuối tuần,môi trường,,,,,,,
30/10/2025 20:32:15,Tình Nguyện Viên,,39,Hải Phòng,làm vườn,cuối tuần,thiện nguyện,,,,,,,
30/10/2025 20:32:29,Tình Nguyện Viên,,24,Nghệ An,bán hàng,ban ngày,kinh doanh,,,,,,,
30/10/2025 20:32:45,Tình Nguyện Viên,,33,Quảng Ngãi,"giao tiếp, hỗ trợ học sinh",ban ngày,cộng đồng,,,,,,,
30/10/2025 20:33:00,Tình Nguyện Viên,,29,Kiên Giang,"quản trị hệ thống, thiết kế UI, phân tích dữ liệu",online,"đổi mới, công nghệ",,,,,,,
30/10/2025 20:33:14,Tình Nguyện Viên,,26,Hải Phòng,"tổ chức tour, giao tiếp",linh hoạt,"văn hóa, du lịch",,,,,,,
30/10/2025 20:33:28,Tình Nguyện Viên,,21,Sóc Trăng,"quản trị hệ thống, lập trình",online,đổi mới,,,,,,,
30/10/2025 20:33:44,Tình Nguyện Viên,,33,Bà Rịa - Vũng Tàu,"sơ cứu, hỗ trợ bệnh nhân",ban ngày,"cộng đồng, sức khỏe",,,,,,,
30/10/2025 20:33:58,Tình Nguyện Viên,,38,Kiên Giang,"hỗ trợ học sinh, dạy học, tổ chức lớp học",cuối tuần,cộng đồng,,,,,,,
30/10/2025 20:34:14,Tình Nguyện Viên,,19,Nghệ An,"bán hàng, quản lý dự án",ban ngày,"kinh doanh, lãnh đạo",,,,,,,
30/10/2025 20:34:28,Tình Nguyện Viên,,38,Bình Dương,"viết nội dung, quay phim, chụp ảnh",linh hoạt,nghệ thuật,,,,,,,
30/10/2025 20:34:42,Tình Nguyện Viên,,25,TP. Hồ Chí Minh,"quản lý dự án, bán hàng",ban ngày,kinh doanh,,,,,,,
30/10/2025 20:34:56,Tình Nguyện Viên,,29,An Giang,"dạy học, giao tiếp, hỗ trợ học sinh",cuối tuần,giáo dục,,,,,,,
30/10/2025 20:35:11,Tình Nguyện Viên,,22,Khánh Hòa,dạy học,cuối tuần,cộng đồng,,,,,,,
30/10/2025 20:35:26,Tình Nguyện Viên,,27,Lào Cai,"kỹ thuật nông nghiệp, làm vườn, trồng cây",cuối tuần,môi trường,,,,,,,
30/10/2025 20:35:42,Tình Nguyện Viên,,40,TP. Hồ Chí Minh,"kế toán, bán hàng, phân tích tài chính",ban ngày,"kinh doanh, lãnh đạo",,,,,,,
30/10/2025 20:35:58,Tình Nguyện Viên,,38,Quảng Ninh,hỗ trợ bệnh nhân,ban ngày,"sức khỏe, cộng đồng",,,,,,,
30/10/2025 20:36:13,Tình Nguyện Viên,,33,Quảng Ngãi,làm vườn,cuối tuần,"thiện nguyện, môi trường",,,,,,,
30/10/2025 20:36:28,Tình Nguyện Viên,,25,Bình Định,"ngoại ngữ, giao tiếp, tổ chức tour",cuối tuần,"du lịch, văn hóa",,,,,,,
30/10/2025 20:36:42,Tình Nguyện Viên,,32,Quảng Ngãi,dạy học,cuối tuần,trẻ em,,,,,,,
30/10/2025 20:36:57,Tình Nguyện Viên,,33,Trà Vinh,viết nội dung,linh hoạt,"truyền thông, nghệ thuật",,,,,,,
30/10/2025 20:37:11,Tình Nguyện Viên,,30,An Giang,y tế,ban ngày,sức khỏe,,,,,,,
30/10/2025 20:37:24,Tình Nguyện Viên,,37,Nghệ An,MC,cuối tuần,cộng đồng,,,,,,,
30/10/2025 20:37:39,Tình Nguyện Viên,,25,Đà Nẵng,"dạy học, hỗ trợ học sinh, giao tiếp",ban ngày,"trẻ em, cộng đồng",,,,,,,
30/10/2025 20:37:53,Tình Nguyện Viên,,39,Đà Nẵng,"quản lý dự án, bán hàng",ban ngày,"kinh doanh, lãnh đạo",,,,,,,
30/10/2025 20:38:09,Tình Nguyện Viên,,30,Hải Phòng,"chăm sóc, sơ cứu, y tế",ban ngày,sức khỏe,,,,,,,
30/10/2025 20:38:23,Tình Nguyện Viên,,24,Long An,"ngoại ngữ, tổ chức tour",cuối tuần,văn hóa,,,,,,,
30/10/2025 20:38:39,Tình Nguyện Viên,,31,Đồng Nai,"bảo tồn, trồng cây",cuối tuần,"môi trường, thiện nguyện",,,,,,,
30/10/2025 20:38:56,Tình Nguyện Viên,,26,An Giang,"tổ chức tour, hướng dẫn",cuối tuần,du lịch,,,,,,,
30/10/2025 20:39:10,Tình Nguyện Viên,,25,Gia Lai,"tổ chức lớp học, dạy học, hỗ trợ học sinh",cuối tuần,"trẻ em, cộng đồng",,,,,,,
30/10/2025 20:39:24,Tình Nguyện Viên,,37,Lào Cai,"tổ chức lớp học, giao tiếp",cuối tuần,"trẻ em, giáo dục",,,,,,,
30/10/2025 20:39:39,Tình Nguyện Viên,,20,Bà Rịa - Vũng Tàu,"tổ chức sự kiện, MC",cuối tuần,"cộng đồng, truyền thông",,,,,,,
30/10/2025 20:39:53,Tình Nguyện Viên,,27,Thanh Hóa,"quản lý dự án, phân tích tài chính, bán hàng",ban ngày,kinh doanh,,,,,,,
30/10/2025 20:40:06,Tình Nguyện Viên,,30,TP. Hồ Chí Minh,"phân tích tài chính, quản lý dự án, kế toán",ban ngày,kinh doanh,,,,,,,
30/10/2025 20:40:21,Tình Nguyện Viên,,22,Thanh Hóa,"ngoại ngữ, hướng dẫn, tổ chức tour",linh hoạt,"du lịch, văn hóa",,,,,,,
30/10/2025 20:40:35,Tình Nguyện Viên,,36,Đồng Nai,bán hàng,ban ngày,kinh doanh,,,,,,,
30/10/2025 20:40:48,Tình Nguyện Viên,,35,Sóc Trăng,làm vườn,cuối tuần,"thiện nguyện, môi trường",,,,,,,
30/10/2025 20:41:02,Tình Nguyện Viên,,31,An Giang,viết nội dung,cuối tuần,truyền thông,,,,,,,
30/10/2025 20:41:16,Tình Nguyện Viên,,32,Thanh Hóa,"tổ chức sự kiện, viết nội dung",cuối tuần,"cộng đồng, truyền thông",,,,,,,
30/10/2025 20:41:30,Tình Nguyện Viên,,23,Long An,giao tiếp,linh hoạt,"du lịch, văn hóa",,,,,,,
30/10/2025 20:41:46,Tình Nguyện Viên,,19,Bà Rịa - Vũng Tàu,"thiết kế, chụp ảnh",linh hoạt,nghệ thuật,,,,,,,
30/10/2025 20:42:01,Tình Nguyện Viên,,33,Bà Rịa - Vũng Tàu,"sơ cứu, chăm sóc",ban ngày,cộng đồng,,,,,,,
30/10/2025 20:42:16,Tình Nguyện Viên,,39,An Giang,"trồng cây, bảo tồn",cuối tuần,môi trường,,,,,,,
30/10/2025 20:42:31,Tình Nguyện Viên,,30,Cần Thơ,"bán hàng, kế toán, quản lý dự án",ban ngày,"kinh doanh, lãnh đạo",,,,,,,
30/10/2025 20:42:46,Tình Nguyện Viên,,25,Thanh Hóa,bán hàng,ban ngày,kinh doanh,,,,,,,
30/10/2025 20:43:00,Tình Nguyện Viên,,20,Đà Nẵng,"chăm sóc, y tế",ban ngày,"sức khỏe, cộng đồng",,,,,,,
30/10/2025 20:43:16,Tình Nguyện Viên,,37,Bình Dương,"bán hàng, kế toán, phân tích tài chính",ban ngày,lãnh đạo,,,,,,,
30/10/2025 20:43:33,Tình Nguyện Viên,,33,An Giang,"hướng dẫn, tổ chức tour",linh hoạt,"văn hóa, du lịch",,,,,,,
30/10/2025 20:43:47,Tình Nguyện Viên,,34,Trà Vinh,"viết nội dung, MC, marketing",cuối tuần,"cộng đồng, truyền thông",,,,,,,
30/10/2025 20:44:02,Tình Nguyện Viên,,30,Bình Dương,"viết nội dung, MC",cuối tuần,cộng đồng,,,,,,,
30/10/2025 20:44:16,Tình Nguyện Viên,,25,Lào Cai,"bán hàng, phân tích tài chính, kế toán",ban ngày,"lãnh đạo, kinh doanh",,,,,,,
30/10/2025 20:44:30,Tình Nguyện Viên,,32,Hải Phòng,"bán hàng, kế toán",ban ngày,lãnh đạo,,,,,,,
30/10/2025 20:44:44,Tình Nguyện Viên,,21,Quảng Nam,hỗ trợ bệnh nhân,ban ngày,"cộng đồng, sức khỏe",,,,,,,
30/10/2025 20:44:59,Tình Nguyện Viên,,39,Hà Nội,"thiết kế, quay phim, chụp ảnh",linh hoạt,nghệ thuật,,,,,,,
30/10/2025 20:45:46,Tình Nguyện Viên,,20,Đắk Lắk,quản lý dự án,ban ngày,"lãnh đạo, kinh doanh",,,,,,,
30/10/2025 20:46:00,Tình Nguyện Viên,,20,Thanh Hóa,"lập trình, thiết kế UI",buổi tối,"công nghệ, khoa học",,,,,,,
30/10/2025 20:46:14,Tình Nguyện Viên,,37,Bắc Giang,kế toán,ban ngày,"lãnh đạo, kinh doanh",,,,,,,
30/10/2025 20:46:29,Tình Nguyện Viên,,29,Quảng Ngãi,"chăm sóc, y tế, hỗ trợ bệnh nhân",ban ngày,"cộng đồng, sức khỏe",,,,,,,
30/10/2025 20:46:44,Tình Nguyện Viên,,37,Quảng Nam,kế toán,ban ngày,lãnh đạo,,,,,,,
30/10/2025 20:46:58,Tình Nguyện Viên,,22,Bà Rịa - Vũng Tàu,thiết kế,cuối tuần,truyền thông,,,,,,,
30/10/2025 20:47:13,Tình Nguyện Viên,,24,Đắk Lắk,tổ chức tour,linh hoạt,"du lịch, văn hóa",,,,,,,
30/10/2025 20:47:28,Tình Nguyện Viên,,38,Hải Phòng,"hỗ trợ học sinh, dạy học, giao tiếp",ban ngày,"giáo dục, cộng đồng",,,,,,,
30/10/2025 20:47:42,Tình Nguyện Viên,,18,Long An,chụp ảnh,cuối tuần,truyền thông,,,,,,,
30/10/2025 20:47:56,Tình Nguyện Viên,,31,Trà Vinh,"làm vườn, trồng cây, bảo tồn",cuối tuần,môi trường,,,,,,,
30/10/2025 20:48:10,Tình Nguyện Viên,,40,Bà Rịa - Vũng Tàu,"kỹ thuật nông nghiệp, làm vườn",cuối tuần,thiện nguyện,,,,,,,
30/10/2025 20:48:25,Tình Nguyện Viên,,27,Cần Thơ,"giao tiếp, hỗ trợ học sinh, dạy học",cuối tuần,giáo dục,,,,,,,
30/10/2025 20:48:38,Tình Nguyện Viên,,37,Phú Yên,quay phim,linh hoạt,nghệ thuật,,,,,,,
30/10/2025 20:48:54,Tình Nguyện Viên,,19,Lào Cai,bảo tồn,cuối tuần,thiện nguyện,,,,,,,
30/10/2025 20:49:08,Tình Nguyện Viên,,38,Đắk Lắk,"bán hàng, quản lý dự án",ban ngày,"kinh doanh, lãnh đạo",,,,,,,
30/10/2025 20:49:22,Tình Nguyện Viên,,38,An Giang,tổ chức sự kiện,cuối tuần,truyền thông,,,,,,,
30/10/2025 20:49:36,Tình Nguyện Viên,,26,Phú Yên,lập trình,buổi tối,"đổi mới, khoa học",,,,,,,
30/10/2025 20:49:51,Tình Nguyện Viên,,21,Quảng Ninh,"viết nội dung, tổ chức sự kiện",cuối tuần,"truyền thông, cộng đồng",,,,,,,
30/10/2025 20:50:05,Tình Nguyện Viên,,22,Phú Yên,"tổ chức lớp học, dạy học",ban ngày,"trẻ em, cộng đồng",,,,,,,
30/10/2025 20:50:19,Tình Nguyện Viên,,25,Khánh Hòa,"dạy học, tổ chức lớp học",cuối tuần,"cộng đồng, giáo dục",,,,,,,
30/10/2025 20:50:35,Tình Nguyện Viên,,27,Thanh Hóa,viết nội dung,linh hoạt,"truyền thông, nghệ thuật",,,,,,,
30/10/2025 20:50:49,Tình Nguyện Viên,,19,Quảng Nam,"viết nội dung, chụp ảnh",cuối tuần,"truyền thông, nghệ thuật",,,,,,,
30/10/2025 20:51:05,Tình Nguyện Viên,,22,Bình Dương,"viết nội dung, chụp ảnh",linh hoạt,"nghệ thuật, truyền thông",,,,,,,
30/10/2025 20:51:19,Tình Nguyện Viên,,34,Thanh Hóa,"phân tích dữ liệu, lập trình",buổi tối,"khoa học, đổi mới",,,,,,,
30/10/2025 20:51:33,Tình Nguyện Viên,,24,Hà Nội,giao tiếp,cuối tuần,trẻ em,,,,,,,
30/10/2025 20:51:48,Tình Nguyện Viên,,33,Quảng Ngãi,thiết kế UI,online,khoa học,,,,,,,
30/10/2025 20:52:02,Tình Nguyện Viên,,18,Bình Định,chăm sóc,ban ngày,cộng đồng,,,,,,,
30/10/2025 20:52:17,Tình Nguyện Viên,,39,TP. Hồ Chí Minh,"phân tích dữ liệu, thiết kế UI",buổi tối,đổi mới,,,,,,,
30/10/2025 20:52:31,Tình Nguyện Viên,,36,Đồng Nai,quản lý dự án,ban ngày,"kinh doanh, lãnh đạo",,,,,,,
30/10/2025 20:52:45,Tình Nguyện Viên,,32,Đà Nẵng,"tổ chức lớp học, giao tiếp",ban ngày,"cộng đồng, giáo dục",,,,,,,
30/10/2025 20:53:00,Tình Nguyện Viên,,19,Cần Thơ,"hỗ trợ học sinh, tổ chức lớp học",cuối tuần,trẻ em,,,,,,,
30/10/2025 20:53:14,Tình Nguyện Viên,,39,Long An,bảo tồn,cuối tuần,"thiện nguyện, môi trường",,,,,,,
30/10/2025 20:53:28,Tình Nguyện Viên,,36,Đồng Nai,thiết kế,linh hoạt,truyền thông,,,,,,,
30/10/2025 20:53:42,Tình Nguyện Viên,,40,Quảng Nam,"hướng dẫn, giao tiếp",cuối tuần,du lịch,,,,,,,
30/10/2025 20:53:56,Tình Nguyện Viên,,21,Bình Dương,"quản lý dự án, kế toán",ban ngày,"lãnh đạo, kinh doanh",,,,,,,
30/10/2025 20:54:16,Tình Nguyện Viên,,38,Quảng Ninh,quay phim,linh hoạt,truyền thông,,,,,,,
30/10/2025 20:54:30,Tình Nguyện Viên,,19,Kiên Giang,"quản lý dự án, kế toán",ban ngày,"kinh doanh, lãnh đạo",,,,,,,
30/10/2025 20:54:46,Tình Nguyện Viên,,40,Đắk Lắk,"bán hàng, phân tích tài chính, kế toán",ban ngày,"lãnh đạo, kinh doanh",,,,,,,
30/10/2025 20:55:03,Tình Nguyện Viên,,20,Phú Yên,"chăm sóc, hỗ trợ bệnh nhân",ban ngày,cộng đồng,,,,,,,
30/10/2025 20:55:19,Tình Nguyện Viên,,34,TP. Hồ Chí Minh,ngoại ngữ,linh hoạt,"du lịch, văn hóa",,,,,,,
30/10/2025 20:55:34,Tình Nguyện Viên,,31,Long An,"chăm sóc, sơ cứu, hỗ trợ bệnh nhân",ban ngày,sức khỏe,,,,,,,
30/10/2025 20:55:49,Tình Nguyện Viên,,39,Hà Nội,"giao tiếp, tổ chức tour",linh hoạt,du lịch,,,,,,,
30/10/2025 20:56:07,Tình Nguyện Viên,,24,Gia Lai,thiết kế,linh hoạt,"nghệ thuật, truyền thông",,,,,,,
30/10/2025 20:56:22,Tình Nguyện Viên,,20,Quảng Ninh,"ngoại ngữ, hướng dẫn, tổ chức tour",linh hoạt,văn hóa,,,,,,,
30/10/2025 20:56:37,Tình Nguyện Viên,,35,Gia Lai,"phân tích dữ liệu, quản trị hệ thống, lập trình",online,công nghệ,,,,,,,
30/10/2025 20:56:52,Tình Nguyện Viên,,25,Bình Định,ngoại ngữ,cuối tuần,"du lịch, văn hóa",,,,,,,
30/10/2025 20:57:05,Tình Nguyện Viên,,32,Bà Rịa - Vũng Tàu,"trồng cây, làm vườn, kỹ thuật nông nghiệp",cuối tuần,thiện nguyện,,,,,,,
30/10/2025 20:57:19,Tình Nguyện Viên,,23,Gia Lai,"bán hàng, phân tích tài chính",ban ngày,kinh doanh,,,,,,,
30/10/2025 20:57:34,Tình Nguyện Viên,,23,Bắc Giang,"MC, tổ chức sự kiện",cuối tuần,"truyền thông, cộng đồng",,,,,,,
30/10/2025 20:57:49,Tình Nguyện Viên,,32,Kiên Giang,"thiết kế, quay phim, viết nội dung",linh hoạt,"nghệ thuật, truyền thông",,,,,,,
30/10/2025 20:58:04,Tình Nguyện Viên,,40,Cần Thơ,"làm vườn, bảo tồn",cuối tuần,môi trường,,,,,,,
30/10/2025 20:58:19,Tình Nguyện Viên,,22,Huế,"quản trị hệ thống, lập trình, thiết kế UI",online,công nghệ,,,,,,,
30/10/2025 20:58:35,Tình Nguyện Viên,,37,Phú Yên,phân tích tài chính,ban ngày,"kinh doanh, lãnh đạo",,,,,,,
30/10/2025 20:58:49,Tình Nguyện Viên,,39,TP. Hồ Chí Minh,"hỗ trợ bệnh nhân, sơ cứu, y tế",ban ngày,cộng đồng,,,,,,,
30/10/2025 20:59:03,Tình Nguyện Viên,,36,TP. Hồ Chí Minh,"phân tích tài chính, bán hàng",ban ngày,lãnh đạo,,,,,,,
30/10/2025 20:59:19,Tình Nguyện Viên,,23,Quảng Ninh,quản lý dự án,ban ngày,"kinh doanh, lãnh đạo",,,,,,,
30/10/2025 20:59:34,Tình Nguyện Viên,,24,Đồng Nai,"thiết kế UI, lập trình, phân tích dữ liệu",buổi tối,công nghệ,,,,,,,
30/10/2025 20:59:50,Tình Nguyện Viên,,36,Khánh Hòa,phân tích dữ liệu,online,"công nghệ, khoa học",,,,,,,
30/10/2025 21:00:05,Tình Nguyện Viên,,38,Thanh Hóa,"dạy học, hỗ trợ học sinh, giao tiếp",ban ngày,"giáo dục, trẻ em",,,,,,,
30/10/2025 21:00:21,Tình Nguyện Viên,,35,Sóc Trăng,"trồng cây, làm vườn",cuối tuần,thiện nguyện,,,,,,,
30/10/2025 21:00:36,Tình Nguyện Viên,,34,Kiên Giang,"marketing, viết nội dung, tổ chức sự kiện",cuối tuần,truyền thông,,,,,,,
30/10/2025 21:00:51,Tình Nguyện Viên,,27,Hà Nội,"giao tiếp, hỗ trợ học sinh",ban ngày,"giáo dục, cộng đồng",,,,,,,
30/10/2025 21:01:09,Tình Nguyện Viên,,29,Đồng Nai,thiết kế,linh hoạt,nghệ thuật,,,,,,,
30/10/2025 21:01:24,Tình Nguyện Viên,,40,An Giang,"tổ chức lớp học, hỗ trợ học sinh",cuối tuần,"giáo dục, cộng đồng",,,,,,,
30/10/2025 21:01:39,Tình Nguyện Viên,,21,Đồng Nai,"giao tiếp, dạy học",cuối tuần,trẻ em,,,,,,,
30/10/2025 21:01:56,Tình Nguyện Viên,,29,Bắc Giang,chăm sóc,ban ngày,"sức khỏe, cộng đồng",,,,,,,
30/10/2025 21:02:42,Tình Nguyện Viên,,40,Hà Nội,"bảo tồn, trồng cây, kỹ thuật nông nghiệp",cuối tuần,môi trường,,,,,,,
30/10/2025 21:02:58,Tình Nguyện Viên,,33,Bình Định,"dạy học, giao tiếp",cuối tuần,giáo dục,,,,,,,
30/10/2025 21:03:13,Tình Nguyện Viên,,36,Bắc Giang,"viết nội dung, MC",cuối tuần,truyền thông,,,,,,,
30/10/2025 21:03:31,Tình Nguyện Viên,,33,Cần Thơ,"bán hàng, quản lý dự án",ban ngày,lãnh đạo,,,,,,,
30/10/2025 21:03:50,Tình Nguyện Viên,,38,Hà Nội,"bán hàng, phân tích tài chính, kế toán",ban ngày,kinh doanh,,,,,,,
30/10/2025 21:04:04,Tình Nguyện Viên,,21,Phú Yên,"thiết kế, chụp ảnh, viết nội dung",linh hoạt,nghệ thuật,,,,,,,
30/10/2025 21:04:19,Tình Nguyện Viên,,29,Hà Nội,"quản lý dự án, phân tích tài chính, bán hàng",ban ngày,"kinh doanh, lãnh đạo",,,,,,,
30/10/2025 21:04:34,Tình Nguyện Viên,,22,Hà Nội,"quản lý dự án, phân tích tài chính",ban ngày,"lãnh đạo, kinh doanh",,,,,,,
30/10/2025 21:04:54,Tình Nguyện Viên,,28,Trà Vinh,"thiết kế, chụp ảnh, quay phim",cuối tuần,"nghệ thuật, truyền thông",,,,,,,
30/10/2025 21:05:09,Tình Nguyện Viên,,33,Cần Thơ,"ngoại ngữ, giao tiếp",cuối tuần,văn hóa,,,,,,,
30/10/2025 21:05:24,Tình Nguyện Viên,,32,Bắc Giang,"dạy học, giao tiếp, tổ chức lớp học",cuối tuần,"giáo dục, cộng đồng",,,,,,,
30/10/2025 21:05:38,Tình Nguyện Viên,,26,Quảng Ngãi,"bảo tồn, làm vườn",cuối tuần,môi trường,,,,,,,
30/10/2025 21:05:52,Tình Nguyện Viên,,22,Quảng Nam,"sơ cứu, y tế, hỗ trợ bệnh nhân",ban ngày,cộng đồng,,,,,,,
30/10/2025 21:06:07,Tình Nguyện Viên,,35,Bà Rịa - Vũng Tàu,tổ chức lớp học,cuối tuần,"giáo dục, trẻ em",,,,,,,
30/10/2025 21:06:21,Tình Nguyện Viên,,26,Bà Rịa - Vũng Tàu,"kế toán, phân tích tài chính",ban ngày,kinh doanh,,,,,,,
30/10/2025 21:06:37,Tình Nguyện Viên,,38,Phú Yên,"quản lý dự án, bán hàng",ban ngày,"lãnh đạo, kinh doanh",,,,,,,
30/10/2025 21:06:53,Tình Nguyện Viên,,23,Bình Dương,phân tích dữ liệu,buổi tối,đổi mới,,,,,,,
30/10/2025 21:07:07,Tình Nguyện Viên,,39,Long An,"hỗ trợ bệnh nhân, sơ cứu",ban ngày,"sức khỏe, cộng đồng",,,,,,,
30/10/2025 21:07:21,Tình Nguyện Viên,,19,Quảng Nam,"tổ chức sự kiện, marketing, MC",cuối tuần,"cộng đồng, truyền thông",,,,,,,
30/10/2025 21:07:36,Tình Nguyện Viên,,36,Thanh Hóa,"ngoại ngữ, giao tiếp, tổ chức tour",cuối tuần,"văn hóa, du lịch",,,,,,,
30/10/2025 21:07:50,Tình Nguyện Viên,,33,Trà Vinh,"làm vườn, bảo tồn",cuối tuần,thiện nguyện,,,,,,,
30/10/2025 21:08:04,Tình Nguyện Viên,,20,Bình Định,"giao tiếp, hướng dẫn",linh hoạt,"văn hóa, du lịch",,,,,,,
30/10/2025 21:08:22,Tình Nguyện Viên,,28,An Giang,"tổ chức tour, giao tiếp, hướng dẫn",cuối tuần,du lịch,,,,,,,
30/10/2025 21:08:36,Tình Nguyện Viên,,30,Nghệ An,trồng cây,cuối tuần,môi trường,,,,,,,
30/10/2025 21:08:50,Tình Nguyện Viên,,25,Đà Nẵng,"lập trình, quản trị hệ thống, phân tích dữ liệu",online,"công nghệ, đổi mới",,,,,,,
30/10/2025 21:09:04,Tình Nguyện Viên,,35,Quảng Nam,"ngoại ngữ, hướng dẫn",linh hoạt,"văn hóa, du lịch",,,,,,,
30/10/2025 21:09:18,Tình Nguyện Viên,,20,Đồng Nai,"tổ chức lớp học, dạy học",cuối tuần,trẻ em,,,,,,,
30/10/2025 21:09:33,Tình Nguyện Viên,,38,Hải Phòng,"quay phim, thiết kế, viết nội dung",linh hoạt,nghệ thuật,,,,,,,
30/10/2025 21:09:48,Tình Nguyện Viên,,30,Bình Định,hướng dẫn,cuối tuần,văn hóa,,,,,,,
30/10/2025 21:10:05,Tình Nguyện Viên,,34,TP. Hồ Chí Minh,"kế toán, quản lý dự án",ban ngày,lãnh đạo,,,,,,,
30/10/2025 21:10:21,Tình Nguyện Viên,,38,Lào Cai,"kỹ thuật nông nghiệp, trồng cây",cuối tuần,môi trường,,,,,,,
30/10/2025 21:25:08,Tình Nguyện Viên,,27,Hải Phòng,"chăm sóc, sơ cứu, hỗ trợ bệnh nhân",ban ngày,"sức khỏe, cộng đồng",,,,,,,
30/10/2025 21:25:22,Tình Nguyện Viên,,20,Nghệ An,"dạy học, hỗ trợ học sinh",cuối tuần,"cộng đồng, trẻ em",,,,,,,
30/10/2025 21:25:36,Tình Nguyện Viên,,38,Đồng Nai,"giao tiếp, dạy học",cuối tuần,"cộng đồng, trẻ em",,,,,,,
30/10/2025 21:25:51,Tình Nguyện Viên,,29,Bà Rịa - Vũng Tàu,"hỗ trợ học sinh, tổ chức lớp học, dạy học",ban ngày,"trẻ em, giáo dục",,,,,,,
30/10/2025 21:26:05,Tình Nguyện Viên,,23,Nghệ An,quản trị hệ thống,online,đổi mới,,,,,,,
30/10/2025 21:27:23,Tình Nguyện Viên,,27,Hải Phòng,"chăm sóc, sơ cứu, hỗ trợ bệnh nhân",ban ngày,"sức khỏe, cộng đồng",,,,,,,
30/10/2025 21:27:37,Tình Nguyện Viên,,20,Nghệ An,"dạy học, hỗ trợ học sinh",cuối tuần,cộng đồng,,,,,,,
30/10/2025 21:27:52,Tình Nguyện Viên,,38,Đồng Nai,"giao tiếp, dạy học",cuối tuần,cộng đồng,,,,,,,
30/10/2025 21:28:07,Tình Nguyện Viên,,29,Bà Rịa - Vũng Tàu,"hỗ trợ học sinh, tổ chức lớp học, dạy học",ban ngày,"trẻ em, giáo dục",,,,,,,
30/10/2025 21:28:21,Tình Nguyện Viên,,23,Nghệ An,quản trị hệ thống,online,đổi mới,,,,,,,
30/10/2025 21:28:35,Tình Nguyện Viên,,39,Bình Dương,"giao tiếp, ngoại ngữ",linh hoạt,văn hóa,,,,,,,
30/10/2025 21:28:50,Tình Nguyện Viên,,29,TP. Hồ Chí Minh,"kế toán, bán hàng",ban ngày,kinh doanh,,,,,,,
30/10/2025 21:29:07,Tình Nguyện Viên,,35,Bình Dương,"bảo tồn, làm vườn",cuối tuần,môi trường,,,,,,,
30/10/2025 21:29:22,Tình Nguyện Viên,,21,Khánh Hòa,MC,cuối tuần,truyền thông,,,,,,,
30/10/2025 21:29:36,Tình Nguyện Viên,,31,Quảng Nam,"y tế, hỗ trợ bệnh nhân, sơ cứu",ban ngày,sức khỏe,,,,,,,
30/10/2025 21:29:49,Tình Nguyện Viên,,21,Long An,trồng cây,cuối tuần,"môi trường, thiện nguyện",,,,,,,
30/10/2025 21:30:04,Tình Nguyện Viên,,29,Đắk Lắk,ngoại ngữ,cuối tuần,"du lịch, văn hóa",,,,,,,
30/10/2025 21:30:18,Tình Nguyện Viên,,37,Bình Dương,"giao tiếp, dạy học, tổ chức lớp học",ban ngày,"giáo dục, cộng đồng",,,,,,,
30/10/2025 21:30:33,Tình Nguyện Viên,,31,Lào Cai,"hỗ trợ bệnh nhân, chăm sóc",ban ngày,sức khỏe,,,,,,,
30/10/2025 21:30:46,Tình Nguyện Viên,,33,Bà Rịa - Vũng Tàu,"lập trình, quản trị hệ thống, thiết kế UI",buổi tối,khoa học,,,,,,,
30/10/2025 21:31:01,Tình Nguyện Viên,,18,Phú Yên,quay phim,linh hoạt,nghệ thuật,,,,,,,
30/10/2025 21:31:16,Tình Nguyện Viên,,24,Huế,"tổ chức lớp học, dạy học, hỗ trợ học sinh",ban ngày,"giáo dục, cộng đồng",,,,,,,
30/10/2025 21:31:31,Tình Nguyện Viên,,36,Phú Yên,marketing,cuối tuần,"cộng đồng, truyền thông",,,,,,,
30/10/2025 21:31:45,Tình Nguyện Viên,,34,Bình Dương,viết nội dung,linh hoạt,"nghệ thuật, truyền thông",,,,,,,
30/10/2025 21:31:59,Tình Nguyện Viên,,30,Quảng Ngãi,"chụp ảnh, quay phim",linh hoạt,"nghệ thuật, truyền thông",,,,,,,
30/10/2025 21:32:13,Tình Nguyện Viên,,32,Bắc Giang,"thiết kế UI, lập trình, quản trị hệ thống",online,"đổi mới, công nghệ",,,,,,,
